Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
0.28,0,0.746,0.746,0.726,0.746,0.726,0,0,0,0,9.186,165.559,165.559,"35,787,620"
0.29,0,0.747,0.747,0.727,0.747,0.727,0,0,0,0,9.186,165.559,165.559,"37,065,750"
0.3,0,0.747,0.747,0.727,0.747,0.727,0,0,0,0,9.186,165.559,165.559,"38,343,880"
0.31,0,0.747,0.747,0.728,0.747,0.728,0,0,0,0,9.186,165.559,165.559,"39,622,010"
0.32,0,0.748,0.748,0.728,0.748,0.728,0,0,0,0,9.186,165.559,165.559,"40,900,140"
0.33,0,0.748,0.748,0.729,0.748,0.729,0,0,0,0,9.186,165.559,165.559,"42,178,270"
0.34,0,0.749,0.749,0.729,0.749,0.729,0,0,0,0,9.186,165.559,165.559,"43,456,400"
0.35,0,0.749,0.749,0.73,0.749,0.73,0,0,0,0,9.186,165.559,165.559,"44,734,520"
0.36,0,0.75,0.75,0.73,0.75,0.73,0,0,0,0,9.186,165.559,165.559,"46,012,660"
0.37,0,0.751,0.751,0.731,0.751,0.731,0,0,0,0,9.186,165.559,165.559,"47,290,780"
0.38,0,0.751,0.751,0.731,0.751,0.731,0,0,0,0,9.186,165.559,165.559,"48,568,910"
0.39,0,0.752,0.752,0.732,0.752,0.732,0,0,0,0,9.186,165.559,165.559,"49,847,040"
0.4,0,0.752,0.752,0.733,0.752,0.733,0,0,0,0,9.186,165.559,165.559,"51,125,170"
0.41,0,0.753,0.753,0.733,0.753,0.733,0,0,0,0,9.186,165.559,165.559,"52,403,300"
0.42,0,0.754,0.754,0.734,0.754,0.734,0,0,0,0,9.186,165.559,165.559,"53,681,430"
0.43,0,0.754,0.754,0.735,0.754,0.735,0,0,0,0,9.186,165.559,165.559,"54,959,560"
0.44,0,0.755,0.755,0.735,0.755,0.735,0,0,0,0,9.186,165.559,165.559,"56,237,690"
0.45,0,0.756,0.756,0.736,0.756,0.736,0,0,0,0,9.186,165.559,165.559,"57,515,820"
0.46,0,0.756,0.756,0.737,0.756,0.737,0,0,0,0,9.186,165.559,165.559,"58,793,950"
0.47,0,0.757,0.757,0.737,0.757,0.737,0,0,0,0,9.186,165.559,165.559,"60,072,080"
0.48,0,0.758,0.758,0.738,0.758,0.738,0,0,0,0,9.186,165.559,165.559,"61,350,200"
0.49,0,0.759,0.759,0.739,0.759,0.739,0,0,0,0,9.186,165.559,165.559,"62,628,340"
0.5,0,0.759,0.759,0.74,0.759,0.74,0,0,0,0,9.186,165.559,165.559,"63,906,460"
0.51,0,0.76,0.76,0.741,0.76,0.741,0,0,0,0,9.186,165.559,165.559,"65,184,590"
0.52,0,0.761,0.761,0.741,0.761,0.741,0,0,0,0,9.186,165.559,165.559,"66,462,720"
0.53,0,0.762,0.762,0.742,0.762,0.742,0,0,0,0,9.186,165.559,165.559,"67,740,850"
0.54,0,0.763,0.763,0.743,0.763,0.743,0,0,0,0,9.186,165.559,165.559,"69,018,980"
0.55,0,0.764,0.764,0.744,0.764,0.744,0,0,0,0,9.186,165.559,165.559,"70,297,110"
0.56,0,0.765,0.765,0.745,0.765,0.745,0,0,0,0,9.186,165.559,165.559,"71,575,240"
0.57,0,0.766,0.766,0.746,0.766,0.746,0,0,0,0,9.186,165.559,165.559,"72,853,370"
0.58,0,0.767,0.767,0.747,0.767,0.747,0,0,0,0,9.186,165.559,165.559,"74,131,500"
0.59,0,0.768,0.768,0.748,0.768,0.748,0,0,0,0,9.186,165.559,165.559,"75,409,620"
0.6,0,0.769,0.769,0.749,0.769,0.749,0,0,0,0,9.186,165.559,165.559,"76,687,760"
0.61,0,0.771,0.771,0.75,0.771,0.75,0,0,0,0,9.186,165.559,165.559,"77,965,890"
0.62,0,0.773,0.773,0.752,0.773,0.752,0,0,0,0,9.186,165.559,165.559,"79,244,020"
0.63,0,0.775,0.775,0.753,0.775,0.753,0,0,0,0,9.186,165.559,165.559,"80,522,140"
0.64,0,0.776,0.776,0.754,0.776,0.754,0,0,0,0,9.186,165.559,165.559,"81,800,270"
0.65,0,0.778,0.778,0.756,0.778,0.756,0,0,0,0,9.186,165.559,165.559,"83,078,400"
0.66,0,0.78,0.78,0.757,0.78,0.757,0,0,0,0,9.186,165.559,165.559,"84,356,540"
0.67,0,0.782,0.782,0.759,0.782,0.759,0,0,0,0,9.186,165.559,165.559,"85,634,660"
0.68,0,0.784,0.784,0.76,0.784,0.76,0,0,0,0,9.186,165.559,165.559,"86,912,790"
0.69,0,0.786,0.786,0.762,0.786,0.762,0,0,0,0,9.186,165.559,165.559,"88,190,920"
0.7,0,0.789,0.789,0.764,0.789,0.764,0,0,0,0,9.186,165.559,165.559,"89,469,050"
0.71,0,0.789,0.789,0.764,0.789,0.764,0,0,0,0,9.186,165.559,165.559,"90,747,180"
0.72,0,0.789,0.789,0.763,0.789,0.763,0,0,0,0,9.186,165.559,165.559,"92,025,310"
0.73,0,0.789,0.789,0.763,0.789,0.763,0,0,0,0,9.186,165.559,165.559,"93,303,440"
0.74,0,0.789,0.789,0.763,0.789,0.763,0,0,0,0,9.186,165.559,165.559,"94,581,570"
0.75,0,0.789,0.789,0.762,0.789,0.762,0,0,0,0,9.186,165.559,165.559,"95,859,700"
0.76,0,0.789,0.789,0.762,0.789,0.762,0,0,0,0,9.186,165.559,165.559,"97,137,820"
